SK_ID_CURR,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,CNT_FAM_MEMBERS,DAYS_BIRTH,NAME_INCOME_TYPE,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_CONTRACT_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,WEEKDAY_APPR_PROCESS_START,NAME_TYPE_SUITE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,TARGET
11,M,N,Y,1,3,-14394,State servant,-3258,34842415,348424150,29889881,318108880,Higher education,Married,House / apartment,Cash loans,Sales staff,Medicine,-6581,-7181,,1,1,0,1,1,0,0.009975685312144045,2,THURSDAY,Family,reg oper account,block of flats,Block,No,1
12,F,N,Y,3,5,-16142,Commercial associate,-1545,28146652,73999253,11934466,72702868,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Security staff,XNA,-4692,-4108,,1,1,1,1,0,1,0.09818936596888402,2,TUESDAY,Unaccompanied,reg oper account,block of flats,Mixed,nan,1
13,F,N,Y,3,5,-19251,Working,-2693,26508258,126067815,65357673,119697355,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,Other,-1048,-2044,,1,1,0,1,0,0,0.09985257323072742,2,TUESDAY,"Spouse, partner",reg oper account,block of flats,"Stone, brick",No,1
14,M,Y,Y,2,4,-21079,Working,-3446,67151089,334053142,28657051,348710389,Secondary / secondary special,Married,House / apartment,Cash loans,Sales staff,Government,-3348,-440,9.430530523234532,1,0,1,1,1,1,0.08147415897340761,2,SATURDAY,Unaccompanied,nan,block of flats,nan,No,1
15,M,N,Y,0,1,-15827,Commercial associate,-3143,42350329,286576194,46218494,290297075,Secondary / secondary special,Married,House / apartment,Cash loans,nan,XNA,-3675,-860,,1,1,1,1,0,1,0.08527812062173916,1,SUNDAY,Unaccompanied,reg oper account,block of flats,nan,nan,1
16,M,Y,N,2,4,-12667,Working,-939,59869239,106627382,9147126,115883334,Lower secondary,Married,House / apartment,Cash loans,Sales staff,Business Entity Type 3,-3456,-6721,9.93417964446903,1,1,0,1,0,1,0.056829711362178674,2,SUNDAY,Unaccompanied,nan,block of flats,"Stone, brick",No,0
17,M,Y,N,0,2,-19164,Working,-840,96432711,456692732,54192548,467561216,Higher education,Married,Rented apartment,Cash loans,Drivers,Self-employed,-2580,-4787,6.802158949073087,1,1,0,1,1,1,0.013495262683772892,2,TUESDAY,Unaccompanied,reg oper account,nan,Panel,nan,1
18,F,Y,N,0,2,-11916,Working,-3712,28650080,286500800,46206335,302423536,Secondary / secondary special,Married,House / apartment,Cash loans,Core staff,Medicine,-5023,-910,2.65181576455499,1,1,1,1,0,1,0.09729757538625017,1,THURSDAY,Unaccompanied,org spec account,nan,Panel,No,1
19,M,Y,Y,2,3,-7670,Commercial associate,-282,21705061,77811463,12549293,82677571,Lower secondary,Married,House / apartment,Cash loans,Medicine staff,Government,-2796,-2453,2.028344080724757,1,1,0,1,1,1,0.03495267038455988,2,SUNDAY,Unaccompanied,nan,block of flats,Panel,nan,0
20,M,Y,Y,0,2,-18725,Working,-598,47087188,224732650,36244478,205285119,Secondary / secondary special,Married,House / apartment,Revolving loans,Laborers,XNA,-5552,-4572,3.0089065969690094,1,0,0,1,1,1,0.05909979117736458,2,TUESDAY,Unaccompanied,reg oper account,block of flats,Wooden,No,1
21,F,Y,Y,4,5,-20412,Working,-235,22199293,99792528,51735706,106195027,Secondary / secondary special,Separated,House / apartment,Cash loans,Laborers,XNA,-5167,-2313,11.012736283539418,1,1,0,1,1,1,0.04287548348994491,2,TUESDAY,Unaccompanied,nan,specific housing,nan,No,1
22,M,Y,Y,1,3,-11007,Working,-78,36328729,187809125,13070607,175182002,Secondary / secondary special,Married,House / apartment,Cash loans,Private service staff,XNA,-13,-6461,1.2120284243433777,1,1,0,1,1,1,0.02985986118071019,2,MONDAY,Unaccompanied,nan,block of flats,"Stone, brick",No,0
23,M,N,Y,1,3,-23204,Commercial associate,-1747,52233393,68701094,4127206,64856711,Secondary / secondary special,Civil marriage,House / apartment,Cash loans,nan,School,-5780,-351,,1,1,1,1,0,1,0.04998062443996185,1,TUESDAY,Family,org spec account,block of flats,Panel,nan,0
24,M,Y,Y,2,4,-17165,Pensioner,365243,66402605,664026050,144957510,664257306,Higher education,Married,House / apartment,Cash loans,Drivers,Industry: type 9,-5687,-6308,0.7413514364790427,1,1,0,1,0,1,0.054833988275660196,3,SUNDAY,Unaccompanied,reg oper account,terraced house,nan,Yes,0
25,M,N,Y,2,3,-16512,Pensioner,365243,26447486,95120603,8160007,94474502,Secondary / secondary special,Married,House / apartment,Cash loans,Drivers,Self-employed,-3162,-642,,1,1,0,1,0,0,0.00415367664841072,2,SATURDAY,Unaccompanied,reg oper account,nan,"Stone, brick",No,1
26,F,Y,Y,1,3,-12345,Commercial associate,-2900,35886035,184204947,11066080,200922867,Secondary / secondary special,Married,House / apartment,Cash loans,Laborers,Self-employed,-3585,-5484,2.961686657926985,1,0,0,1,0,1,1.0799548956996752e-05,1,MONDAY,Unaccompanied,nan,block of flats,"Stone, brick",No,0
27,M,N,Y,0,1,-19068,Pensioner,365243,31719279,113000677,115154419,111786598,Secondary / secondary special,Civil marriage,Rented apartment,Cash loans,nan,Other,-7263,-982,,1,1,0,1,1,1,0.06814674339125358,2,FRIDAY,"Spouse, partner",reg oper account,terraced house,Block,No,1
28,F,N,Y,2,3,-7928,Commercial associate,-1758,76992088,543689762,118687985,535058202,Secondary / secondary special,Separated,House / apartment,Cash loans,Low-skill Laborers,Trade: type 7,-6961,-3658,,1,1,0,1,0,0,0.04555598727151371,3,SATURDAY,Unaccompanied,org spec account,specific housing,nan,No,1
29,F,N,Y,0,2,-13120,Working,-2634,74825006,166280373,26817400,176941455,Secondary / secondary special,Married,House / apartment,Cash loans,nan,Other,-8841,-3117,,1,1,1,1,0,1,0.06377965474910346,3,WEDNESDAY,Unaccompanied,reg oper account,block of flats,Block,No,0
30,M,N,Y,0,2,-11396,Working,-2261,20874132,24355940,5316924,23351386,Secondary / secondary special,Married,House / apartment,Cash loans,Sales staff,School,-3768,-4349,,1,1,0,1,0,1,0.07984275140075998,2,MONDAY,Unaccompanied,nan,block of flats,Block,nan,0
31,F,Y,N,1,3,-8872,Working,-268,78790698,238124459,16572311,252367897,Higher education,Civil marriage,House / apartment,Cash loans,High skill tech staff,Other,-1781,-7286,2.5888796006621417,1,1,0,1,0,0,0.06109111085120625,3,TUESDAY,Children,nan,block of flats,Block,No,0
32,M,N,Y,0,2,-18392,Working,-223,143157546,697419794,245230204,661914045,Higher education,Married,House / apartment,Revolving loans,nan,Trade: type 7,-3957,-5560,,1,1,1,1,1,0,0.07411265148247846,2,SATURDAY,Unaccompanied,reg oper spec account,block of flats,"Stone, brick",No,1
33,M,N,N,4,5,-16105,Commercial associate,-4710,101065831,254290207,55511791,249468595,Secondary / secondary special,Married,House / apartment,Cash loans,Core staff,Medicine,-7653,-1092,,1,0,0,1,0,0,0.09121931215670799,2,SATURDAY,Unaccompanied,reg oper account,nan,"Stone, brick",No,0
34,F,N,Y,1,3,-18136,State servant,-151,104050573,201895132,23957490,218581922,Secondary / secondary special,Married,House / apartment,Cash loans,nan,XNA,-7030,-3672,,1,0,0,1,0,1,0.07462730244061741,2,THURSDAY,Unaccompanied,reg oper account,nan,Panel,Yes,1
35,F,N,Y,4,6,-13390,Working,-450,27977592,122751748,14566095,122084724,Secondary / secondary special,Married,House / apartment,Cash loans,Medicine staff,Other,-1920,-2036,,1,1,0,1,0,1,0.08506857106203619,2,SUNDAY,Unaccompanied,org spec account,block of flats,Block,No,1
36,F,Y,N,0,2,-18927,Commercial associate,-1053,130094871,205657129,106619373,223381970,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Managers,Medicine,-3148,-4047,6.396060244698582,1,0,1,1,0,1,0.08525497957706901,1,WEDNESDAY,Family,nan,block of flats,nan,No,1
37,M,N,Y,4,6,-14948,Working,-3141,27292070,198359719,69748227,193520334,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Managers,Other,-9033,-909,,1,1,0,1,0,0,0.01926368893427223,2,THURSDAY,Family,reg oper account,nan,Panel,nan,1
38,M,Y,Y,0,2,-12540,Commercial associate,-1685,46124666,119283370,61840395,109443245,Higher education,Married,House / apartment,Cash loans,Low-skill Laborers,Government,-2948,-5448,4.383012337339396,1,1,0,1,1,0,0.062315570374498475,2,MONDAY,Unaccompanied,org spec account,block of flats,"Stone, brick",No,0
39,F,N,N,0,2,-11809,Working,-1546,27481940,135839156,21907895,142983292,Secondary / secondary special,Single / not married,Rented apartment,Cash loans,nan,Business Entity Type 3,-1075,-6019,,1,1,0,1,0,1,0.01900722486648714,2,SUNDAY,Unaccompanied,reg oper account,block of flats,Panel,No,1
40,M,Y,Y,0,2,-7670,Working,-2150,25624196,33603191,5419462,31910810,Secondary / secondary special,Married,House / apartment,Revolving loans,Laborers,Other,-4291,-1104,3.50908585707976,1,1,0,1,0,0,0.06210048264446303,3,WEDNESDAY,Other_B,reg oper account,specific housing,Wooden,No,1
41,M,N,Y,1,3,-19713,Working,-2959,36201503,354901520,42113693,372545057,Secondary / secondary special,Married,Municipal apartment,Cash loans,Laborers,School,-693,-6778,,1,0,0,1,0,1,0.016670497727794775,2,THURSDAY,Unaccompanied,org spec account,block of flats,nan,nan,1
42,F,Y,N,0,2,-19216,Pensioner,365243,10904395,52681270,4519310,53483899,Secondary / secondary special,Married,Rented apartment,Cash loans,nan,Other,-446,-6508,21.756478888087862,1,0,0,1,0,0,0.046093382131999386,1,FRIDAY,"Spouse, partner",nan,block of flats,nan,nan,1
43,M,Y,N,1,3,-24837,Working,-34,24045659,130434188,67621343,142815077,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,Government,-4722,-5949,0.18692468104559426,1,1,0,1,0,0,0.05178942336320788,2,WEDNESDAY,Unaccompanied,reg oper account,block of flats,nan,No,1
44,F,N,Y,0,1,-13143,Commercial associate,-248,26338575,31141151,5022389,30679460,Incomplete higher,Married,House / apartment,Cash loans,nan,Self-employed,-2411,-5312,,1,1,1,1,0,1,0.06966138912043637,2,TUESDAY,Unaccompanied,org spec account,terraced house,Panel,No,0
45,M,N,Y,0,1,-11687,State servant,-329,109407774,199418937,43533341,215164367,Secondary / secondary special,Married,House / apartment,Cash loans,nan,Business Entity Type 3,-8516,-5074,,1,0,0,1,0,1,0.07401119637690598,2,SUNDAY,Family,reg oper account,block of flats,Block,No,0
46,F,N,N,1,3,-7670,Commercial associate,-74,124790024,485849250,41679017,507592600,Secondary / secondary special,Married,House / apartment,Cash loans,nan,Government,-4765,-1771,,1,1,0,1,0,1,0.07286735311999491,1,TUESDAY,Unaccompanied,reg oper account,nan,Panel,No,1
47,M,Y,Y,0,1,-18817,Working,-2513,167245488,233520023,37661690,216949546,Secondary / secondary special,Separated,House / apartment,Cash loans,Laborers,Industry: type 9,-5674,-6099,0.11638632335602354,1,1,0,1,0,0,0.06570640369394884,2,SUNDAY,Unaccompanied,nan,nan,Panel,No,1
48,F,Y,Y,2,4,-17808,Working,-3948,34886345,70142244,24663763,73119536,Secondary / secondary special,Single / not married,House / apartment,Revolving loans,Drivers,Self-employed,-4701,-4076,2.406883473692763,1,1,0,1,0,1,0.055964701147818076,2,SUNDAY,Unaccompanied,reg oper account,nan,nan,No,1
49,F,N,Y,1,3,-21411,Commercial associate,-2264,48051276,291864677,20312370,299895120,Secondary / secondary special,Separated,With parents,Cash loans,High skill tech staff,School,-33,-2411,,1,1,0,1,0,1,0.08891948425321175,2,WEDNESDAY,Unaccompanied,reg oper account,block of flats,Panel,No,1
50,M,N,N,3,5,-10592,Working,-381,57692136,117970328,8210164,129245549,Secondary / secondary special,Married,House / apartment,Cash loans,nan,Trade: type 7,-8929,-1113,,1,0,1,1,1,0,0.07074811734140439,2,FRIDAY,Unaccompanied,reg oper account,nan,Block,nan,0
51,F,N,Y,0,2,-17749,Commercial associate,-1703,21950205,98278730,50950903,97435380,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Cleaning staff,Other,-5648,-5348,,1,1,0,1,0,1,0.07376786837752428,2,SUNDAY,Unaccompanied,reg oper account,block of flats,Panel,No,1
52,F,N,N,4,5,-12321,Commercial associate,-1342,26247028,44965985,3857447,45464680,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,Business Entity Type 3,-8382,-1310,,1,1,0,1,1,1,0.09042715759839948,2,MONDAY,Unaccompanied,reg oper account,block of flats,"Stone, brick",No,1
53,F,N,Y,1,3,-20499,Commercial associate,-3131,18107185,97220928,8340185,101295736,Secondary / secondary special,Separated,House / apartment,Cash loans,Laborers,Self-employed,-7170,-6891,,1,1,0,1,0,1,0.008184435934310941,2,SATURDAY,Unaccompanied,nan,block of flats,Panel,No,0
54,F,N,Y,4,5,-16960,State servant,-5209,71998124,97508053,15725924,99615537,Secondary / secondary special,Married,House / apartment,Cash loans,Laborers,Industry: type 9,-8196,-6913,,1,1,1,1,0,0,0.04455567662045338,1,THURSDAY,"Spouse, partner",nan,block of flats,Block,Yes,0
55,F,N,N,0,2,-7791,Pensioner,365243,12997372,69397906,15149628,71000293,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,Self-employed,-7661,-5549,,1,1,0,1,0,1,0.060132424388096795,2,THURSDAY,Unaccompanied,reg oper account,block of flats,"Stone, brick",No,1
56,F,N,N,2,4,-14034,Commercial associate,-1312,86107520,861075200,302775529,852769867,Lower secondary,Civil marriage,House / apartment,Cash loans,nan,Business Entity Type 3,-1151,-5497,,1,1,0,1,1,0,0.017510236590241226,3,WEDNESDAY,Unaccompanied,reg oper account,block of flats,Wooden,No,1
57,M,N,Y,2,4,-7670,Commercial associate,-1306,35785039,77443228,27230971,81641291,Higher education,Married,House / apartment,Cash loans,nan,School,-4138,-3385,,1,1,0,1,0,1,0.07063003119923009,3,MONDAY,Unaccompanied,reg oper account,block of flats,Block,nan,1
58,M,N,Y,0,1,-9511,Commercial associate,-3011,47316176,92557073,32545376,83477395,Higher education,Separated,House / apartment,Revolving loans,nan,Self-employed,-1089,-7242,,1,1,0,1,1,0,0.016600367565560093,2,TUESDAY,Unaccompanied,org spec account,nan,Panel,No,1
59,M,N,N,1,3,-9776,Pensioner,365243,19662872,162411683,84199521,151282510,Higher education,Married,House / apartment,Revolving loans,Cooking staff,Self-employed,-9032,-2384,,1,1,0,1,0,0,0.043459321131915675,2,SUNDAY,Unaccompanied,reg oper account,nan,Block,No,1
60,M,Y,Y,2,3,-11800,Working,-303,40708750,142347918,16891436,152365416,Secondary / secondary special,Married,House / apartment,Cash loans,Security staff,Trade: type 7,-5706,-5091,2.624722002540976,1,1,0,1,1,0,0.07059186505979809,3,MONDAY,Unaccompanied,nan,block of flats,Panel,Yes,0
61,M,Y,Y,1,3,-13458,Commercial associate,-768,35205357,45854375,46728339,49806756,Secondary / secondary special,Married,Municipal apartment,Cash loans,Sales staff,Other,-5790,-4839,17.123288662984287,1,1,1,1,0,1,0.040372633580228925,2,SATURDAY,Unaccompanied,nan,nan,Wooden,No,1
62,M,Y,Y,0,2,-15331,Working,-2510,67765410,295156721,153018885,309247156,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Drivers,Self-employed,-9014,-1929,1.7183144188492314,1,1,0,1,1,1,0.01780654258477855,2,FRIDAY,Children,reg oper account,nan,Panel,nan,0
63,F,N,N,2,3,-15112,Working,-124,32840667,129659121,45591382,120771187,Secondary / secondary special,Married,House / apartment,Cash loans,nan,Self-employed,-6253,-4263,,1,0,1,1,0,0,0.08763497406545667,2,WEDNESDAY,Children,reg oper account,nan,Panel,No,0
64,M,Y,N,0,2,-14505,State servant,-770,54215082,108512818,12876460,110243063,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Core staff,Self-employed,-5064,-3093,12.569175952821077,1,1,1,1,0,0,0.07258913475726061,3,THURSDAY,Unaccompanied,org spec account,terraced house,Panel,No,1
65,M,Y,N,2,4,-16066,Working,-700,38782834,75267968,39021373,71952951,Higher education,Married,House / apartment,Cash loans,Managers,Government,-6419,-4880,3.4372168290206293,1,1,0,1,1,1,0.027180915888814564,3,FRIDAY,Unaccompanied,org spec account,nan,"Stone, brick",No,0
66,F,N,Y,0,2,-9132,Working,-1214,19768484,131499343,46238450,133125210,Secondary / secondary special,Married,House / apartment,Cash loans,Laborers,Other,-8747,-3700,,1,1,0,1,0,1,0.017423556795375862,1,THURSDAY,Unaccompanied,reg oper account,block of flats,Block,No,0
67,M,N,Y,0,2,-14930,Working,-1137,81596678,122892554,8552727,115639264,Secondary / secondary special,Single / not married,House / apartment,Cash loans,High skill tech staff,XNA,-1530,-1970,,1,1,0,1,0,1,0.0704219236199781,1,WEDNESDAY,Unaccompanied,reg oper spec account,block of flats,"Stone, brick",nan,0
68,F,N,Y,0,2,-20897,Working,-2288,24563504,27241020,9578622,25264550,Higher education,Married,House / apartment,Cash loans,Sales staff,Self-employed,-6157,-1196,,1,1,0,1,0,1,0.038392275733198325,2,TUESDAY,Unaccompanied,reg oper account,block of flats,Panel,No,0
69,M,N,Y,1,3,-13883,Working,-1793,58997406,105370632,12503599,98892456,Secondary / secondary special,Single / not married,With parents,Cash loans,Cooking staff,Self-employed,-97,-1764,,1,0,0,1,1,1,0.058532573852647596,3,THURSDAY,Unaccompanied,nan,block of flats,Panel,nan,0
70,F,N,Y,4,6,-16778,Working,-4256,56240041,373177440,25971345,402502411,Secondary / secondary special,Separated,House / apartment,Cash loans,nan,School,-7097,-4306,,1,1,1,1,1,0,0.02387618290081266,2,SUNDAY,Unaccompanied,reg oper account,terraced house,nan,No,0
71,F,N,Y,0,2,-16370,Commercial associate,-363,19206555,51731627,52717608,47158423,Incomplete higher,Separated,House / apartment,Cash loans,nan,Government,-7783,-1318,,1,1,0,1,0,1,0.08162220803298753,2,FRIDAY,Unaccompanied,reg oper account,nan,"Stone, brick",nan,1
72,M,N,Y,0,2,-18389,Pensioner,365243,19561919,41352162,9027215,37505407,Incomplete higher,Married,Rented apartment,Cash loans,Accountants,Medicine,-3751,-1840,,1,1,0,1,0,0,0.01702372134227157,1,SATURDAY,"Spouse, partner",reg oper spec account,nan,"Stone, brick",No,0
73,M,N,Y,0,2,-15868,Working,-933,51425661,161637637,26068628,151636299,Secondary / secondary special,Married,With parents,Cash loans,Sales staff,Government,-3730,-647,,1,1,0,1,1,1,0.003966762161806014,2,MONDAY,Unaccompanied,reg oper account,nan,nan,No,1
74,F,Y,Y,2,4,-18315,Pensioner,365243,18314689,89809315,10657046,91014732,Higher education,Married,House / apartment,Revolving loans,Low-skill Laborers,Trade: type 7,-1521,-6536,6.236518102026254,1,1,0,1,1,1,0.09837159184157512,2,TUESDAY,Unaccompanied,org spec account,nan,"Stone, brick",No,1
75,F,N,N,1,3,-16833,Working,-328,33631505,336315050,23405901,308680436,Incomplete higher,Married,House / apartment,Cash loans,Laborers,Medicine,-437,-175,,1,0,0,1,1,1,0.08391741790240137,2,FRIDAY,Unaccompanied,nan,block of flats,Panel,No,1
76,F,Y,Y,0,2,-17490,Working,-749,41366563,181856413,185322515,182562216,Higher education,Married,House / apartment,Cash loans,Cooking staff,Government,-487,-1243,5.098386771232408,1,1,1,1,1,0,0.09651135307087554,2,THURSDAY,Unaccompanied,org spec account,nan,Panel,No,1
77,F,Y,Y,1,3,-16547,Unemployed,365243,11592770,115927700,25307125,121028902,Higher education,Married,House / apartment,Cash loans,Medicine staff,School,-7497,-5481,8.43070347032726,1,1,0,1,0,1,0.021719990897801668,2,SATURDAY,Unaccompanied,reg oper account,nan,"Stone, brick",No,1
78,M,N,Y,0,2,-10197,Working,-297,44995555,268184203,58544863,270332318,Higher education,Married,House / apartment,Cash loans,Core staff,Self-employed,-3610,-1442,,1,1,1,1,1,0,0.038785483307588076,2,THURSDAY,Unaccompanied,nan,nan,Block,No,1
79,M,Y,N,1,2,-9478,Working,-563,37255297,97485293,6784505,102689151,Lower secondary,Married,House / apartment,Cash loans,nan,Government,-7292,-4679,9.482047861365553,1,1,0,1,0,0,0.0911359124511017,2,MONDAY,Unaccompanied,nan,block of flats,"Stone, brick",No,0
80,M,N,Y,0,2,-13061,Working,-2060,32267148,218523042,25930608,219387334,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Sales staff,Self-employed,-3131,-1144,,1,1,0,1,0,1,0.0811351633321452,1,FRIDAY,Unaccompanied,nan,nan,nan,No,0
81,F,N,Y,2,4,-21410,State servant,-1658,24343144,134535334,9363008,123526519,Secondary / secondary special,Civil marriage,House / apartment,Cash loans,nan,Government,-985,-4087,,1,0,1,1,0,0,0.019706920209712264,2,WEDNESDAY,Family,org spec account,nan,"Stone, brick",No,0
82,F,N,Y,3,5,-13857,Working,-201,46320748,389664839,202014981,402861057,Secondary / secondary special,Married,House / apartment,Cash loans,Sales staff,Medicine,-8328,-5802,,1,1,1,1,1,1,0.08150633813172348,2,SATURDAY,Other_B,nan,block of flats,Block,Yes,1
83,M,N,Y,2,4,-15966,Working,-5254,8557607,51232831,52209306,49465142,Higher education,Separated,With parents,Cash loans,Drivers,XNA,-2275,-280,,1,1,0,1,1,1,0.0727984508175194,3,THURSDAY,Unaccompanied,reg oper spec account,block of flats,Mixed,No,1
84,M,N,N,1,3,-7670,Commercial associate,-292,55256455,200964611,12072914,201767523,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,Self-employed,-697,-6661,,1,0,0,1,1,0,0.08681400064490907,2,WEDNESDAY,Family,org spec account,nan,Panel,No,1
85,M,Y,Y,1,3,-15459,Working,-115,36640637,82798880,18075073,90992711,Secondary / secondary special,Married,House / apartment,Cash loans,Core staff,Medicine,-1821,-731,12.82016544948242,1,1,0,1,0,1,0.04766510364758763,2,THURSDAY,Unaccompanied,nan,block of flats,Panel,No,0
86,M,N,Y,0,2,-14986,Working,-662,22296198,82459726,9784921,78743903,Secondary / secondary special,Married,House / apartment,Revolving loans,nan,Government,-8024,-3489,,1,1,1,1,0,0,0.051928819877810645,2,WEDNESDAY,Children,reg oper account,block of flats,Mixed,No,1
87,F,N,Y,2,4,-7670,Working,-48,15777047,16005759,5628024,17033733,Secondary / secondary special,Separated,House / apartment,Cash loans,High skill tech staff,School,-8721,-7041,,1,1,0,1,0,1,0.08572999840668181,2,WEDNESDAY,Family,org spec account,block of flats,Panel,nan,0
88,F,N,Y,1,2,-15884,Commercial associate,-56,60677021,176833543,28519396,179107416,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Managers,Industry: type 9,-7309,-780,,1,1,0,1,0,0,0.05558310546646472,2,SATURDAY,Unaccompanied,org spec account,nan,Panel,No,1
89,F,N,Y,3,5,-7670,Commercial associate,-1578,40704799,52595721,3660407,56968329,Secondary / secondary special,Married,House / apartment,Cash loans,Managers,Industry: type 9,-3146,-4168,,1,0,0,1,0,1,0.043987195792366866,2,TUESDAY,Unaccompanied,reg oper account,block of flats,Panel,No,1
90,M,Y,Y,0,2,-11430,Commercial associate,-4080,51304971,245752892,29161785,265935728,Secondary / secondary special,Married,House / apartment,Revolving loans,Laborers,Business Entity Type 3,-5047,-2059,5.667324815948684,1,1,0,1,0,1,0.06510542224296195,2,FRIDAY,Unaccompanied,org spec account,block of flats,Mixed,No,0
